Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;IDREFLIGA;IDREFLIGC;RES_COM;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
48.8619369132, 2.4413109399;"{""type"": ""Point"", ""coordinates"": [2.441310939900038, 48.86193691322736]}";44052;MAIRIE DE MONTREUIL;Mairie de Montreuil;A01542;;M9;Metro;0;0;0;1;0;0;0;0;0;0;M9;0;0;0;RATP;0;1;659011.433;6862578.734
48.8471310082, 2.27276375332;"{""type"": ""Point"", ""coordinates"": [2.272763753316159, 48.847131008196236]}";45430;MIRABEAU;Mirabeau;A01543;;M10;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;646631.012;6861033.152
48.8470661332, 2.30740224062;"{""type"": ""Point"", ""coordinates"": [2.307402240619641, 48.84706613315245]}";51612;SEGUR;Sgur;A01543;;M10;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;649172.863;6861003.084
48.8488163725, 2.32125786291;"{""type"": ""Point"", ""coordinates"": [2.32125786290546, 48.8488163724703]}";45116;VANEAU;Vaneau;A01543;;M10;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650191.323;6861188.864
48.8513788297, 2.32693524475;"{""type"": ""Point"", ""coordinates"": [2.326935244753162, 48.851378829747084]}";44828;SEVRES-BABYLONE;Svres-Babylone;A01543 / A01545;;M10 / M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650610.369;6861470.218
48.8501273229, 2.34805429322;"{""type"": ""Point"", ""coordinates"": [2.34805429322118, 48.85012732291201]}";44119;MAUBERT-MUTUALITE;Maubert Mutualit;A01543;;M10;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652158.905;6861318.06
48.8466568513, 2.35162325638;"{""type"": ""Point"", ""coordinates"": [2.351623256378513, 48.84665685125004]}";42435;CARDINAL-LEMOINE;Cardinal Lemoine;A01543;;M10;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652417.628;6860930.02
48.8270854489, 2.27941168205;"{""type"": ""Point"", ""coordinates"": [2.279411682050421, 48.82708544889643]}";42759;CORENTIN-CELTON;Corentin Celton;A01545;;M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;647098.524;6858799.845
48.8429206191, 2.31260704965;"{""type"": ""Point"", ""coordinates"": [2.312607049649865, 48.8429206190846]}";44273;PASTEUR;Pasteur;A01539 / A01545;;M6 / M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;649550.802;6860538.808
48.8607869626, 2.32099819197;"{""type"": ""Point"", ""coordinates"": [2.320998191965805, 48.86078696262744]}";45704;ASSEMBLEE NATIONALE;Assemble Nationale;A01545;;M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650183.714;6862520.047
48.8760262116, 2.33788648907;"{""type"": ""Point"", ""coordinates"": [2.337886489069273, 48.87602621160853]}";44210;NOTRE-DAME-DE-LORETTE;Notre-Dame-de-Lorette;A01545;;M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651436.936;6864204.011
48.8896740757, 2.33876065323;"{""type"": ""Point"", ""coordinates"": [2.338760653233254, 48.88967407570701]}";43600;LAMARCK-CAULAINCOURT;Lamarck-Caulaincourt;A01545;;M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651513.759;6865721.031
48.9033300946, 2.30592414987;"{""type"": ""Point"", ""coordinates"": [2.305924149869319, 48.903330094573725]}";44012;MAIRIE DE CLICHY;Mairie de Clichy;A01546;;M13;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;649119.387;6867260.172
48.8736852106, 2.31446798957;"{""type"": ""Point"", ""coordinates"": [2.314467989568736, 48.87368521063635]}";43511;MIROMESNIL;Miromesnil;A01542 / A01546;;M9 / M13;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;649717.076;6863958.367
48.8973747955, 2.32894281278;"{""type"": ""Point"", ""coordinates"": [2.328942812779894, 48.89737479552952]}";44525;PORTE DE SAINT-OUEN;Porte de Saint-Ouen;A01546;;M13;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650801.147;6866583.384
48.9060940502, 2.33183083796;"{""type"": ""Point"", ""coordinates"": [2.33183083796241, 48.90609405024862]}";43252;GARIBALDI;Garibaldi;A01546;;M13;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651021.083;6867551.131
48.8794817719, 2.38911580738;"{""type"": ""Point"", ""coordinates"": [2.389115807376888, 48.87948177191293]}";42369;BOTZARIS;Botzaris;A01550;;M7b;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;655197.272;6864557.96
48.9572688642, 2.87344818875;"{""type"": ""Point"", ""coordinates"": [2.873448188754336, 48.95726886420967]}";43161;MEAUX;MEAUX;A01844;;LIGNE P;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;690732.365;6873042.104
49.0217572695, 3.03175844584;"{""type"": ""Point"", ""coordinates"": [3.031758445837327, 49.02175726953646]}";47486;LIZY-SUR-OURCQ;LIZY-SUR-OURCQ;A01844;;LIGNE P;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;702322.849;6880206.813
48.9913914029, 2.66505986931;"{""type"": ""Point"", ""coordinates"": [2.665059869307301, 48.99139140287414]}";46731;COMPANS;COMPANS;A02175;;LIGNE K;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;675487.843;6876881.332
48.8403020934, 2.37912177644;"{""type"": ""Point"", ""coordinates"": [2.379121776442215, 48.840302093377076]}";45232;BERCY;Bercy;A01539 / A01547;;M6 / M14;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654430.061;6860207.214
48.8332167197, 2.36285639952;"{""type"": ""Point"", ""coordinates"": [2.362856399519012, 48.833216719709846]}";44192;NATIONALE;Nationale;A01539;;M6;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653229.917;6859428.905
48.831129548, 2.34351165775;"{""type"": ""Point"", ""coordinates"": [2.343511657749776, 48.831129548026645]}";45276;GLACIERE;Glacire;A01539;;M6;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651808.002;6859208.467
48.8329008157, 2.33713519471;"{""type"": ""Point"", ""coordinates"": [2.33713519470604, 48.83290081566779]}";45315;SAINT-JACQUES;Saint-Jacques;A01539;;M6;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651341.578;6859409.323
48.815930763, 2.37726720015;"{""type"": ""Point"", ""coordinates"": [2.377267200151936, 48.81593076304922]}";44343;PIERRE CURIE;Pierre et Marie Curie;A01540;;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654272.574;6857498.469
48.7964830846, 2.36826954005;"{""type"": ""Point"", ""coordinates"": [2.368269540049694, 48.79648308455052]}";53207;VILLEJUIF-PAUL VAILLANT-COUTURIER;Villejuif-Paul Vaillant-Couturier;A01540;;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653594.588;6855341.399
48.8720134638, 2.34005178574;"{""type"": ""Point"", ""coordinates"": [2.340051785735736, 48.872013463764766]}";44642;RICHELIEU-DROUOT;Richelieu-Drouot;A01541 / A01542;;M8 / M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651592.018;6863756.493
48.863257945, 2.36666109472;"{""type"": ""Point"", ""coordinates"": [2.366661094716491, 48.8632579449661]}";58727;FILLES DU CALVAIRE;Filles du Calvaire;A01541;;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653535.99;6862766.96
48.8611688655, 2.36721086641;"{""type"": ""Point"", ""coordinates"": [2.367210866411708, 48.861168865487805]}";45208;SAINT-SEBASTIEN FROISSART;Saint-Sbastien Froissart;A01541;;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653574.461;6862534.348
48.8501778619, 2.38409221007;"{""type"": ""Point"", ""coordinates"": [2.384092210066296, 48.850177861900356]}";42980;FAIDHERBE-CHALIGNY;Faidherbe-Chaligny;A01541;;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654803.429;6861302.449
48.8026376907, 2.44692748424;"{""type"": ""Point"", ""coordinates"": [2.446927484242136, 48.802637690718086]}";44067;MAISONS-ALFORT-LES JUILLIOTTES;Maisons-Alfort-Les Juilliottes;A01541;;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;659377.305;6855982.36
48.7967407666, 2.44943317569;"{""type"": ""Point"", ""coordinates"": [2.449433175686986, 48.796740766583056]}";45712;CRETEIL-L'ECHAT (HOPITAL MONDOR);Crteil-L'chat;A01541;;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;659556.771;6855325.415
48.3745250134, 2.05991234764;"{""type"": ""Point"", ""coordinates"": [2.059912347637065, 48.37452501337592]}";43134;GUILLERVAL;GUILLERVAL;;;GL;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;630385.839;6808661.332
